time(ms),Noodle raw, Noodle V, Noodle I, Noodle I filt, Cami raw, Cami V, Cami I, Cami I filt
0,515,2.52,0.09,0.00,516,2.52,0.12,0.01
100,513,2.51,0.04,0.05,514,2.51,0.07,0.02
200,512,2.50,0.01,0.04,511,2.50,-0.01,0.03
300,514,2.51,0.07,0.04,513,2.51,0.04,0.03
400,513,2.51,0.04,0.06,511,2.50,-0.01,0.03
500,512,2.50,0.01,0.04,514,2.51,0.07,0.02
600,515,2.52,0.09,0.05,513,2.51,0.04,0.05
700,514,2.51,0.07,0.04,517,2.53,0.15,0.04
800,514,2.51,0.07,0.04,515,2.52,0.09,0.02
900,516,2.52,0.12,0.05,512,2.50,0.01,0.04
1000,511,2.50,-0.01,0.05,512,2.50,0.01,0.03
1100,515,2.52,0.09,0.06,514,2.51,0.07,0.03
1200,513,2.51,0.04,0.05,512,2.50,0.01,0.04
1300,511,2.50,-0.01,0.04,515,2.52,0.09,0.04
1400,511,2.50,-0.01,0.05,515,2.52,0.09,0.03
1500,513,2.51,0.04,0.04,516,2.52,0.12,0.04
1600,511,2.50,-0.01,0.04,514,2.51,0.07,0.04
1700,512,2.50,0.01,0.06,509,2.49,-0.07,0.01
1800,515,2.52,0.09,0.05,513,2.51,0.04,0.03
1900,512,2.50,0.01,0.05,514,2.51,0.07,0.04
2000,513,2.51,0.04,0.03,515,2.52,0.09,0.04
2100,513,2.51,0.04,0.03,514,2.51,0.07,0.02
2200,514,2.51,0.07,0.04,513,2.51,0.04,0.03
2300,513,2.51,0.04,0.05,510,2.49,-0.04,0.03
2400,511,2.50,-0.01,0.04,515,2.52,0.09,0.03
2500,513,2.51,0.04,0.05,516,2.52,0.12,0.04
2600,514,2.51,0.07,0.05,515,2.52,0.09,0.02
2700,511,2.50,-0.01,0.04,515,2.52,0.09,0.03
2800,512,2.50,0.01,0.05,513,2.51,0.04,0.03
2900,515,2.52,0.09,0.06,514,2.51,0.07,0.03
3000,510,2.49,-0.04,0.06,512,2.50,0.01,0.02
3100,514,2.51,0.07,0.04,512,2.50,0.01,0.04
3200,513,2.51,0.04,0.04,512,2.50,0.01,0.03
3300,515,2.52,0.09,0.03,510,2.49,-0.04,0.01
3400,510,2.49,-0.04,0.05,510,2.49,-0.04,0.02
3500,513,2.51,0.04,0.05,515,2.52,0.09,0.03
3600,514,2.51,0.07,0.07,515,2.52,0.09,0.04
3700,512,2.50,0.01,0.04,511,2.50,-0.01,0.03
3800,512,2.50,0.01,0.04,509,2.49,-0.07,0.03
3900,516,2.52,0.12,0.04,514,2.51,0.07,0.03
4000,514,2.51,0.07,0.04,514,2.51,0.07,0.03
4100,515,2.52,0.09,0.04,512,2.50,0.01,0.01
4200,518,2.53,0.17,0.04,511,2.50,-0.01,0.03
4300,515,2.52,0.09,0.04,513,2.51,0.04,0.03
4400,515,2.52,0.09,0.05,511,2.50,-0.01,0.03
4500,520,2.54,0.22,0.05,509,2.49,-0.07,0.02
4600,515,2.52,0.09,0.06,510,2.49,-0.04,0.03
4700,513,2.51,0.04,0.05,513,2.51,0.04,0.04
4800,510,2.49,-0.04,0.04,508,2.48,-0.09,0.01
4900,517,2.53,0.15,0.06,513,2.51,0.04,0.03
5000,515,2.52,0.09,0.04,514,2.51,0.07,0.03
5100,514,2.51,0.07,0.06,514,2.51,0.07,0.02
5200,514,2.51,0.07,0.04,512,2.50,0.01,0.01
5300,517,2.53,0.15,0.06,512,2.50,0.01,0.03
5400,512,2.50,0.01,0.06,514,2.51,0.07,0.03
5500,513,2.51,0.04,0.05,510,2.49,-0.04,0.02
5600,517,2.53,0.15,0.05,513,2.51,0.04,0.03
5700,514,2.51,0.07,0.04,512,2.50,0.01,0.03
5800,512,2.50,0.01,0.06,512,2.50,0.01,0.02
5900,511,2.50,-0.01,0.04,513,2.51,0.04,0.03
6000,518,2.53,0.17,0.05,512,2.50,0.01,0.02
6100,514,2.51,0.07,0.05,508,2.48,-0.09,0.01
6200,514,2.51,0.07,0.05,511,2.50,-0.01,0.04
6300,514,2.51,0.07,0.05,513,2.51,0.04,0.04
6400,512,2.50,0.01,0.06,513,2.51,0.04,0.03
6500,511,2.50,-0.01,0.05,508,2.48,-0.09,0.02
6600,512,2.50,0.01,0.05,511,2.50,-0.01,0.02
6700,516,2.52,0.12,0.04,508,2.48,-0.09,0.01
6800,514,2.51,0.07,0.04,512,2.50,0.01,0.03
6900,514,2.51,0.07,0.06,514,2.51,0.07,0.03
7000,510,2.49,-0.04,0.04,518,2.53,0.17,0.04
7100,512,2.50,0.01,0.03,517,2.53,0.15,0.05
7200,511,2.50,-0.01,0.11,513,2.51,0.04,0.03
7300,514,2.51,0.07,0.11,511,2.50,-0.01,0.02
7400,514,2.51,0.07,0.03,514,2.51,0.07,0.03
7500,513,2.51,0.04,0.05,513,2.51,0.04,0.02
7600,513,2.51,0.04,0.04,511,2.50,-0.01,0.04
7700,514,2.51,0.07,0.10,508,2.48,-0.09,0.04
7800,515,2.52,0.09,0.14,512,2.50,0.01,0.02
7900,516,2.52,0.12,0.12,510,2.49,-0.04,0.03
8000,514,2.51,0.07,0.09,512,2.50,0.01,0.03
8100,528,2.58,0.44,0.15,513,2.51,0.04,0.02
8200,511,2.50,-0.01,0.06,510,2.49,-0.04,0.02
8300,516,2.52,0.12,0.08,515,2.52,0.09,0.04
8400,544,2.66,0.86,1.00,512,2.50,0.01,0.03
8500,513,2.51,0.04,0.29,510,2.49,-0.04,0.02
8600,521,2.55,0.25,0.28,513,2.51,0.04,0.03
8700,519,2.54,0.20,0.32,509,2.49,-0.07,0.04
8800,546,2.67,0.91,0.90,514,2.51,0.07,0.02
8900,538,2.63,0.70,0.36,510,2.49,-0.04,0.01
9000,516,2.52,0.12,0.06,511,2.50,-0.01,0.02
9100,518,2.53,0.17,0.07,513,2.51,0.04,0.02
9200,559,2.73,1.25,0.83,512,2.50,0.01,0.02
9300,518,2.53,0.17,0.49,516,2.52,0.12,0.03
9400,516,2.52,0.12,0.06,516,2.52,0.12,0.01
9500,515,2.52,0.09,0.13,516,2.52,0.12,0.04
9600,542,2.65,0.81,0.93,513,2.51,0.04,0.02
9700,518,2.53,0.17,0.35,512,2.50,0.01,0.04
9800,527,2.58,0.41,0.32,516,2.52,0.12,0.05
9900,513,2.51,0.04,0.13,511,2.50,-0.01,0.03
10000,515,2.52,0.09,0.06,511,2.50,-0.01,0.01
10100,517,2.53,0.15,0.34,510,2.49,-0.04,0.02
10200,515,2.52,0.09,0.03,514,2.51,0.07,0.03
10300,514,2.51,0.07,0.10,510,2.49,-0.04,0.03
10400,518,2.53,0.17,0.14,513,2.51,0.04,0.03
10500,513,2.51,0.04,0.16,514,2.51,0.07,0.05
10600,520,2.54,0.22,0.15,514,2.51,0.07,0.02
10700,531,2.60,0.52,0.22,513,2.51,0.04,0.04
10800,520,2.54,0.22,0.16,516,2.52,0.12,0.04
10900,522,2.55,0.28,0.25,513,2.51,0.04,0.03
11000,517,2.53,0.15,0.14,511,2.50,-0.01,0.02
11100,511,2.50,-0.01,0.23,512,2.50,0.01,0.03
11200,512,2.50,0.01,0.26,514,2.51,0.07,0.02
11300,515,2.52,0.09,0.26,510,2.49,-0.04,0.03
11400,511,2.50,-0.01,0.16,513,2.51,0.04,0.05
11500,516,2.52,0.12,0.21,513,2.51,0.04,0.01
11600,486,2.38,-0.67,0.24,516,2.52,0.12,0.04
11700,518,2.53,0.17,0.13,513,2.51,0.04,0.03
11800,519,2.54,0.20,0.15,516,2.52,0.12,0.02
11900,542,2.65,0.81,0.25,510,2.49,-0.04,0.05
12000,519,2.54,0.20,0.12,517,2.53,0.15,0.05
12100,517,2.53,0.15,0.16,514,2.51,0.07,0.04
12200,509,2.49,-0.07,0.20,513,2.51,0.04,0.05
12300,512,2.50,0.01,0.12,510,2.49,-0.04,0.03
12400,515,2.52,0.09,0.14,511,2.50,-0.01,-0.00
12500,516,2.52,0.12,0.18,513,2.51,0.04,0.01
12600,526,2.57,0.38,0.17,516,2.52,0.12,0.04
12700,526,2.57,0.38,0.22,514,2.51,0.07,0.03
12800,517,2.53,0.15,0.14,514,2.51,0.07,0.04
12900,517,2.53,0.15,0.12,511,2.50,-0.01,0.03
13000,566,2.77,1.44,0.38,518,2.53,0.17,0.05
13100,511,2.50,-0.01,0.18,512,2.50,0.01,0.03
13200,516,2.52,0.12,0.13,513,2.51,0.04,0.04
13300,528,2.58,0.44,0.17,509,2.49,-0.07,0.03
13400,525,2.57,0.36,0.18,509,2.49,-0.07,0.03
13500,514,2.51,0.07,0.13,514,2.51,0.07,0.02
13600,562,2.75,1.33,0.35,508,2.48,-0.09,0.01
13700,561,2.74,1.31,0.30,522,2.55,0.28,0.04
13800,543,2.65,0.83,0.28,510,2.49,-0.04,0.02
13900,512,2.50,0.01,0.34,515,2.52,0.09,0.04
14000,513,2.51,0.04,0.30,509,2.49,-0.07,0.02
14100,515,2.52,0.09,0.18,516,2.52,0.12,0.07
14200,528,2.58,0.44,0.17,510,2.49,-0.04,0.03
14300,545,2.66,0.89,0.29,513,2.51,0.04,0.04
14400,565,2.76,1.41,0.40,513,2.51,0.04,0.04
14500,516,2.52,0.12,0.15,508,2.48,-0.09,0.02
14600,515,2.52,0.09,0.15,511,2.50,-0.01,0.02
14700,516,2.52,0.12,0.12,511,2.50,-0.01,0.03
14800,521,2.55,0.25,0.24,512,2.50,0.01,0.03
14900,521,2.55,0.25,0.20,512,2.50,0.01,0.01
15000,519,2.54,0.20,0.15,512,2.50,0.01,0.03
15100,514,2.51,0.07,0.13,512,2.50,0.01,0.03
15200,516,2.52,0.12,0.31,515,2.52,0.09,0.04
15300,515,2.52,0.09,0.13,509,2.49,-0.07,0.04
15400,521,2.55,0.25,0.27,510,2.49,-0.04,0.03
15500,520,2.54,0.22,0.15,512,2.50,0.01,0.03
15600,518,2.53,0.17,0.14,511,2.50,-0.01,0.02
15700,518,2.53,0.17,0.21,512,2.50,0.01,0.03
15800,539,2.63,0.73,0.42,518,2.53,0.17,0.06
15900,512,2.50,0.01,0.15,514,2.51,0.07,0.03
16000,525,2.57,0.36,0.26,511,2.50,-0.01,0.02
16100,512,2.50,0.01,0.12,512,2.50,0.01,0.04
16200,514,2.51,0.07,0.15,514,2.51,0.07,0.03
16300,515,2.52,0.09,0.28,513,2.51,0.04,0.04
16400,517,2.53,0.15,0.22,512,2.50,0.01,0.03
16500,517,2.53,0.15,0.15,518,2.53,0.17,0.05
16600,566,2.77,1.44,0.41,514,2.51,0.07,0.03
16700,514,2.51,0.07,0.14,513,2.51,0.04,0.04
16800,516,2.52,0.12,0.15,517,2.53,0.15,0.05
16900,519,2.54,0.20,0.22,515,2.52,0.09,0.02
17000,542,2.65,0.81,0.39,514,2.51,0.07,0.03
17100,515,2.52,0.09,0.23,513,2.51,0.04,0.04
17200,518,2.53,0.17,0.10,511,2.50,-0.01,0.00
17300,517,2.53,0.15,0.11,513,2.51,0.04,0.04
17400,518,2.53,0.17,0.10,510,2.49,-0.04,0.02
17500,513,2.51,0.04,0.08,509,2.49,-0.07,0.03
17600,514,2.51,0.07,0.09,509,2.49,-0.07,0.03
17700,510,2.49,-0.04,0.05,513,2.51,0.04,0.03
17800,515,2.52,0.09,0.03,513,2.51,0.04,0.03
17900,510,2.49,-0.04,0.04,512,2.50,0.01,0.03
18000,512,2.50,0.01,0.04,518,2.53,0.17,0.04
18100,513,2.51,0.04,0.04,514,2.51,0.07,0.03
18200,514,2.51,0.07,0.03,514,2.51,0.07,0.03
18300,513,2.51,0.04,0.03,512,2.50,0.01,0.02
18400,514,2.51,0.07,0.07,511,2.50,-0.01,0.02
18500,511,2.50,-0.01,0.06,513,2.51,0.04,0.02
18600,512,2.50,0.01,0.05,512,2.50,0.01,0.04
18700,513,2.51,0.04,0.05,512,2.50,0.01,0.03
18800,510,2.49,-0.04,0.04,513,2.51,0.04,0.03
18900,512,2.50,0.01,0.02,508,2.48,-0.09,0.04
19000,516,2.52,0.12,0.03,512,2.50,0.01,0.03
19100,513,2.51,0.04,0.04,516,2.52,0.12,0.02
19200,509,2.49,-0.07,0.04,513,2.51,0.04,0.02
19300,516,2.52,0.12,0.04,510,2.49,-0.04,0.03
19400,515,2.52,0.09,0.05,512,2.50,0.01,0.04
19500,515,2.52,0.09,0.05,514,2.51,0.07,0.04
19600,510,2.49,-0.04,0.05,514,2.51,0.07,0.05
19700,511,2.50,-0.01,0.05,512,2.50,0.01,0.03
19800,512,2.50,0.01,0.03,513,2.51,0.04,0.04
19900,515,2.52,0.09,0.06,509,2.49,-0.07,0.04
20000,512,2.50,0.01,0.04,512,2.50,0.01,0.03
20100,515,2.52,0.09,0.05,512,2.50,0.01,0.04
20200,537,2.62,0.67,0.72,517,2.53,0.15,0.03
20300,513,2.51,0.04,0.19,513,2.51,0.04,0.03
20400,511,2.50,-0.01,0.05,510,2.49,-0.04,0.05
20500,516,2.52,0.12,0.05,518,2.53,0.17,0.04
20600,512,2.50,0.01,0.05,510,2.49,-0.04,0.03
20700,512,2.50,0.01,0.12,508,2.48,-0.09,0.02
20800,509,2.49,-0.07,0.04,517,2.53,0.15,0.04
20900,537,2.62,0.67,0.81,516,2.52,0.12,0.03
21000,552,2.70,1.07,0.34,519,2.54,0.20,0.04
21100,548,2.68,0.96,1.01,509,2.49,-0.07,0.03
21200,564,2.76,1.39,0.84,512,2.50,0.01,0.02
21300,559,2.73,1.25,1.18,514,2.51,0.07,0.03
21400,555,2.71,1.15,1.11,515,2.52,0.09,0.03
21500,557,2.72,1.20,1.16,512,2.50,0.01,0.02
21600,562,2.75,1.33,0.92,513,2.51,0.04,0.03
21700,544,2.66,0.86,0.89,514,2.51,0.07,0.05
21800,548,2.68,0.96,0.36,517,2.53,0.15,0.04
21900,537,2.62,0.67,0.90,519,2.54,0.20,0.03
22000,514,2.51,0.07,0.23,511,2.50,-0.01,0.03
22100,535,2.61,0.62,0.71,513,2.51,0.04,0.04
22200,519,2.54,0.20,0.08,514,2.51,0.07,0.04
22300,523,2.56,0.30,0.34,513,2.51,0.04,0.04
22400,516,2.52,0.12,0.10,514,2.51,0.07,0.03
22500,516,2.52,0.12,0.44,515,2.52,0.09,0.04
22600,516,2.52,0.12,0.09,514,2.51,0.07,0.03
22700,516,2.52,0.12,0.10,512,2.50,0.01,0.04
22800,511,2.50,-0.01,0.05,513,2.51,0.04,0.03
22900,515,2.52,0.09,0.08,508,2.48,-0.09,0.04
23000,515,2.52,0.09,0.13,513,2.51,0.04,0.03
23100,511,2.50,-0.01,0.14,510,2.49,-0.04,0.03
23200,512,2.50,0.01,0.06,514,2.51,0.07,0.03
23300,515,2.52,0.09,0.27,513,2.51,0.04,0.02
23400,513,2.51,0.04,0.06,518,2.53,0.17,0.02
23500,514,2.51,0.07,0.06,516,2.52,0.12,0.05
23600,514,2.51,0.07,0.06,514,2.51,0.07,0.05
23700,510,2.49,-0.04,0.05,511,2.50,-0.01,0.04
23800,516,2.52,0.12,0.05,512,2.50,0.01,0.02
23900,516,2.52,0.12,0.05,509,2.49,-0.07,0.02
24000,514,2.51,0.07,0.04,514,2.51,0.07,0.04
24100,512,2.50,0.01,0.05,512,2.50,0.01,0.04
24200,515,2.52,0.09,0.04,512,2.50,0.01,0.03
24300,513,2.51,0.04,0.04,512,2.50,0.01,0.02
24400,514,2.51,0.07,0.06,512,2.50,0.01,0.02
24500,512,2.50,0.01,0.03,513,2.51,0.04,0.03
24600,514,2.51,0.07,0.06,509,2.49,-0.07,0.03
24700,515,2.52,0.09,0.05,516,2.52,0.12,0.02
24800,513,2.51,0.04,0.04,513,2.51,0.04,0.02
24900,511,2.50,-0.01,0.06,510,2.49,-0.04,0.03
25000,515,2.52,0.09,0.06,510,2.49,-0.04,0.01
25100,513,2.51,0.04,0.04,516,2.52,0.12,0.04
25200,515,2.52,0.09,0.05,513,2.51,0.04,0.04
25300,515,2.52,0.09,0.05,512,2.50,0.01,0.03
25400,514,2.51,0.07,0.05,511,2.50,-0.01,0.02
25500,562,2.75,1.33,1.08,518,2.53,0.17,0.05
25600,537,2.62,0.67,0.18,512,2.50,0.01,0.03
25700,561,2.74,1.31,0.22,513,2.51,0.04,0.04
25800,516,2.52,0.12,0.04,511,2.50,-0.01,0.02
25900,513,2.51,0.04,0.05,515,2.52,0.09,0.02
26000,516,2.52,0.12,0.13,514,2.51,0.07,0.02
26100,513,2.51,0.04,0.19,514,2.51,0.07,0.04
26200,541,2.64,0.78,0.96,509,2.49,-0.07,0.03
26300,516,2.52,0.12,0.11,512,2.50,0.01,0.03
26400,545,2.66,0.89,0.81,509,2.49,-0.07,0.03
26500,529,2.59,0.46,0.13,516,2.52,0.12,0.04
26600,522,2.55,0.28,0.41,515,2.52,0.09,0.03
26700,519,2.54,0.20,0.16,508,2.48,-0.09,0.02
26800,537,2.62,0.67,0.77,516,2.52,0.12,0.05
26900,517,2.53,0.15,0.09,514,2.51,0.07,0.02
27000,520,2.54,0.22,0.55,512,2.50,0.01,0.03
27100,513,2.51,0.04,0.09,511,2.50,-0.01,0.03
27200,551,2.69,1.04,1.03,514,2.51,0.07,0.02
27300,548,2.68,0.96,0.49,514,2.51,0.07,0.03
27400,533,2.61,0.57,0.84,516,2.52,0.12,0.04
27500,557,2.72,1.20,0.70,515,2.52,0.09,0.02
27600,556,2.72,1.18,1.11,515,2.52,0.09,0.03
27700,560,2.74,1.28,1.26,512,2.50,0.01,0.01
27800,563,2.75,1.36,1.36,510,2.49,-0.04,0.01
27900,564,2.76,1.39,1.35,509,2.49,-0.07,0.02
28000,549,2.68,0.99,1.26,506,2.47,-0.15,0.01
28100,562,2.75,1.33,1.32,511,2.50,-0.01,0.02
28200,557,2.72,1.20,1.25,511,2.50,-0.01,0.02
28300,566,2.77,1.44,1.35,513,2.51,0.04,0.02
28400,562,2.75,1.33,1.35,510,2.49,-0.04,0.04
28500,567,2.77,1.47,1.36,512,2.50,0.01,0.03
28600,581,2.84,1.84,1.80,508,2.48,-0.09,0.02
28700,559,2.73,1.25,1.35,509,2.49,-0.07,0.02
28800,559,2.73,1.25,1.38,510,2.49,-0.04,0.03
28900,562,2.75,1.33,1.36,514,2.51,0.07,0.03
29000,562,2.75,1.33,1.38,510,2.49,-0.04,0.05
29100,562,2.75,1.33,1.37,516,2.52,0.12,0.04
29200,561,2.74,1.31,1.35,518,2.53,0.17,0.05
29300,563,2.75,1.36,1.35,514,2.51,0.07,0.05
